,학교명,년도,전형,과,모집인원,지원인원,경쟁률,평균점수
1,가천대,2016,가천의예전형,의예과,15,334,22.27,1.87
2,가천대,2016,가천프런티어,경영학트랙,27,267,9.89,3.17
3,가천대,2016,가천프런티어,글로벌경영학트랙,16,142,8.88,3.18
4,가천대,2016,가천프런티어,경영학트랙(야),5,39,7.8,4.14
5,가천대,2016,가천프런티어,금융수학과,7,49,7,3.61
6,가천대,2016,가천프런티어,,12,117,9.75,3
7,가천대,2016,가천프런티어,글로벌경제학과(야),5,42,8.4,4.18
8,가천대,2016,가천프런티어,관광경영학과,10,284,28.4,2.87
9,가천대,2016,가천프런티어,헬스케어경영학과,8,60,7.5,3.68
10,가천대,2016,가천프런티어,응용통계학과,6,52,8.67,3.01
11,가천대,2016,가천프런티어,행정학과,7,78,11.14,2.83
12,가천대,2016,가천프런티어,언론영상광고학과,10,352,35.2,2.66
13,가천대,2016,가천프런티어,사회복지학과,11,355,32.27,3.33
14,가천대,2016,가천프런티어,유아교육학과,12,296,24.67,2.66
15,가천대,2016,가천프런티어,한국어문학과,12,197,16.42,3.3
16,가천대,2016,가천프런티어,영미어문학과,8,99,12.38,3.78
17,가천대,2016,가천프런티어,영미어문학과(야),5,16,3.2,4.27
18,가천대,2016,가천프런티어,동양어문학과,14,221,15.79,3.4
19,가천대,2016,가천프런티어,유럽어문학과,12,122,10.17,3.41
20,가천대,2016,가천프런티어,법학과,15,177,11.8,3.05
21,가천대,2016,가천프런티어,경찰.안보학과,8,188,23.5,2.35
22,가천대,2016,가천프런티어,도시계획학과,6,52,8.67,3.97
23,가천대,2016,가천프런티어,조경학과,6,43,7.17,3.69
24,가천대,2016,가천프런티어,실내건축학과,6,76,12.67,3.82
25,가천대,2016,가천프런티어,건축학과(5년제),6,120,20,3.67
26,가천대,2016,가천프런티어,건축공학과,6,51,8.5,3.59
27,가천대,2016,가천프런티어,설비.소방공학과,9,62,6.89,4.07
28,가천대,2016,가천프런티어,전기공학과,6,57,9.5,3.22
29,가천대,2016,가천프런티어,화공생명공학과,13,177,13.62,2.57
30,가천대,2016,가천프런티어,기계공학과,8,134,16.75,3.54
31,가천대,2016,가천프런티어,토목환경공학과,7,71,10.14,3.79
32,가천대,2016,가천프런티어,토목환경공학과(야),5,26,5.2,4.85
33,가천대,2016,가천프런티어,산업경영공학과,9,94,10.44,3.07
34,가천대,2016,가천프런티어,식품생물공학과,7,75,10.71,3.26
35,가천대,2016,가천프런티어,바이오나노학과,8,57,7.13,3.2
36,가천대,2016,가천프런티어,생명과학과,10,187,18.7,3.06
37,가천대,2016,가천프런티어,나노물리학과,7,36,5.14,3.62
38,가천대,2016,가천프런티어,나노화학과,12,97,8.08,2.96
39,가천대,2016,가천프런티어,식품영양학과,8,141,17.63,3.8
